ID,Province,BurnIncidentID,Hectares Burnt,Date,Latitude,Longitude,Climate ID,Station ID
37396,NT,42,0.4901922168257143,2022-10-10,64.97282865639696,-129.15233475114175,2201406,1950
37397,NT,42,0.4901922168257143,2022-10-11,64.97282865639696,-129.15233475114175,2201406,1950
37398,NT,42,0.4901922168257143,2022-10-12,64.97282865639696,-129.15233475114175,2201406,1950
37634,SK,1226,6.094355465241072,2022-10-02,55.90889284157159,-106.9636261094428,4060983,4402
37635,SK,1226,6.094355465241072,2022-10-03,55.90889284157159,-106.9636261094428,4060983,4402
37636,SK,1226,6.094355465241072,2022-10-04,55.90889284157159,-106.9636261094428,4060983,4402
37637,SK,1226,6.094355465241072,2022-10-05,55.90889284157159,-106.9636261094428,4060983,4402
37638,SK,1226,6.094355465241072,2022-10-06,55.90889284157159,-106.9636261094428,4060983,4402
37639,SK,1226,6.094355465241072,2022-10-07,55.90889284157159,-106.9636261094428,4060983,4402
37640,SK,1226,6.094355465241072,2022-10-08,55.90889284157159,-106.9636261094428,4060983,4402
37641,SK,1226,6.094355465241072,2022-10-09,55.90889284157159,-106.9636261094428,4060983,4402
37642,SK,1226,6.094355465241072,2022-10-10,55.90889284157159,-106.9636261094428,4060983,4402
37643,SK,1226,6.094355465241072,2022-10-11,55.90889284157159,-106.9636261094428,4060983,4402
37644,SK,1226,6.094355465241072,2022-10-12,55.90889284157159,-106.9636261094428,4060983,4402
37645,SK,1226,6.094355465241072,2022-10-13,55.90889284157159,-106.9636261094428,4060983,4402
37646,SK,1226,6.094355465241072,2022-10-14,55.90889284157159,-106.9636261094428,4060983,4402
37647,SK,1226,6.094355465241072,2022-10-15,55.90889284157159,-106.9636261094428,4060983,4402
37648,SK,1226,6.094355465241072,2022-10-16,55.90889284157159,-106.9636261094428,4060983,4402
37649,SK,1226,6.094355465241072,2022-10-17,55.90889284157159,-106.9636261094428,4060983,4402
37650,SK,1226,6.094355465241072,2022-10-18,55.90889284157159,-106.9636261094428,4060983,4402
37651,SK,1226,6.094355465241072,2022-10-19,55.90889284157159,-106.9636261094428,4060983,4402
37652,SK,1226,6.094355465241072,2022-10-20,55.90889284157159,-106.9636261094428,4060983,4402
37653,SK,1226,6.094355465241072,2022-10-21,55.90889284157159,-106.9636261094428,4060983,4402
37654,SK,1226,6.094355465241072,2022-10-22,55.90889284157159,-106.9636261094428,4060983,4402
37655,SK,1226,6.094355465241072,2022-10-23,55.90889284157159,-106.9636261094428,4060983,4402
37656,SK,1226,6.094355465241072,2022-10-24,55.90889284157159,-106.9636261094428,4060983,4402
37657,SK,1226,6.094355465241072,2022-10-25,55.90889284157159,-106.9636261094428,4060983,4402
37658,SK,1226,6.094355465241072,2022-10-26,55.90889284157159,-106.9636261094428,4060983,4402
37659,SK,1226,6.094355465241072,2022-10-27,55.90889284157159,-106.9636261094428,4060983,4402
37660,SK,1226,6.094355465241072,2022-10-28,55.90889284157159,-106.9636261094428,4060983,4402
37661,SK,1226,6.094355465241072,2022-10-29,55.90889284157159,-106.9636261094428,4060983,4402
37662,SK,1226,6.094355465241072,2022-10-30,55.90889284157159,-106.9636261094428,4060983,4402
37663,SK,1226,6.094355465241072,2022-10-31,55.90889284157159,-106.9636261094428,4060983,4402
37664,SK,1226,6.094355465241072,2022-11-01,55.90889284157159,-106.9636261094428,4060983,4402
37665,SK,1226,6.094355465241072,2022-11-02,55.90889284157159,-106.9636261094428,4060983,4402
37666,SK,1226,6.094355465241072,2022-11-03,55.90889284157159,-106.9636261094428,4060983,4402
37770,NT,40,0.2374068675754385,2022-10-02,66.31534251988684,-125.59549228886758,2200824,1938
37771,NT,40,0.2374068675754385,2022-10-03,66.31534251988684,-125.59549228886758,2200824,1938
37772,NT,40,0.2374068675754385,2022-10-04,66.31534251988684,-125.59549228886758,2200824,1938
37773,NT,40,0.2374068675754385,2022-10-05,66.31534251988684,-125.59549228886758,2200824,1938
37774,NT,40,0.2374068675754385,2022-10-06,66.31534251988684,-125.59549228886758,2200824,1938
37775,NT,40,0.2374068675754385,2022-10-07,66.31534251988684,-125.59549228886758,2200824,1938
37776,NT,40,0.2374068675754385,2022-10-08,66.31534251988684,-125.59549228886758,2200824,1938
37777,NT,40,0.2374068675754385,2022-10-09,66.31534251988684,-125.59549228886758,2200824,1938
37778,NT,40,0.2374068675754385,2022-10-10,66.31534251988684,-125.59549228886758,2200824,1938
37779,NT,40,0.2374068675754385,2022-10-11,66.31534251988684,-125.59549228886758,2200824,1938
37780,NT,40,0.2374068675754385,2022-10-12,66.31534251988684,-125.59549228886758,2200824,1938
