,FireProvinceShort,BurnIncidentID,HectaresBurnt,Date,FireLatitude,FireLongitude
70,ON,5,6.659504258276699,1987-06-18,48.859937599123256,-94.59278298379458
71,ON,5,6.659504258276699,1987-06-19,48.859937599123256,-94.59278298379458
72,ON,5,6.659504258276699,1987-06-20,48.859937599123256,-94.59278298379458
73,ON,5,6.659504258276699,1987-06-21,48.859937599123256,-94.59278298379458
74,ON,5,6.659504258276699,1987-06-22,48.859937599123256,-94.59278298379458
75,ON,5,6.659504258276699,1987-06-23,48.859937599123256,-94.59278298379458
76,ON,5,6.659504258276699,1987-06-24,48.859937599123256,-94.59278298379458
77,ON,5,6.659504258276699,1987-06-25,48.859937599123256,-94.59278298379458
78,ON,5,6.659504258276699,1987-06-26,48.859937599123256,-94.59278298379458
79,ON,5,6.659504258276699,1987-06-27,48.859937599123256,-94.59278298379458
