,StationID,Date,StationName,AverageTemp,MaxGust,MaxRelHumidity,ProvinceShort
13833,3945,1994-08-26,RAINY RIVER,18.5,,,ON
13834,27378,2014-06-15,BANFF CS,8.8,0.0,,AB
13835,31469,2015-11-11,FAIRVIEW AGDM,1.2,56.0,,AB
13836,8214,2018-08-22,BLUE RIVER CS,17.3,,97.0,BC
13837,48872,2021-07-15,KEY LAKE,26.0,72.0,69.0,SK
13838,2765,1999-05-28,PANNY LO,8.3,,,AB
13839,10183,2011-11-11,RED EARTH,-4.2,0.0,98.0,AB
13840,3945,1993-07-18,RAINY RIVER-COOPER,19.0,,,ON
13841,10881,2015-09-10,OAKPOINT MARINE,11.2,33.0,,MB
13842,617,2017-08-31,MCLEESE LAKE GRANITE MT,13.5,,,BC
13843,10932,2004-12-13,GARDEN RIVER,-16.1,,,AB
13844,776,2018-06-16,HANEY UBC RF ADMIN,18.0,,,BC
13845,48872,2021-04-25,KEY LAKE,-7.6,41.0,90.0,SK
13846,2632,2011-08-16,WHITECOURT A,13.0,,,AB
13847,3945,1996-01-25,RAINY RIVER,-31.3,,,ON
13848,48568,2017-10-01,FREDERICTON INTL A,8.8,37.0,,NB
13849,617,2017-08-13,MCLEESE LAKE GRANITE MT,,,,BC
13850,3394,2006-08-15,STONY RAPIDS A,14.8,0.0,,SK
13851,48568,2017-06-10,FREDERICTON INTL A,15.6,35.0,,NB
13852,3905,2013-05-26,THOMPSON A,12.5,0.0,82.0,MB
13853,1596,2011-09-30,SHINGLE POINT A,-1.9,0.0,,YT
13854,10963,2017-07-12,CAP-ROUGE,,52.0,,QC
13855,2632,2011-06-26,WHITECOURT A,15.7,,,AB
13856,3945,1991-11-24,RAINY RIVER-COOPER,-14.8,,,ON
13857,53358,2022-03-03,ISLAND LAKE SOUTH,-7.8,,88.0,AB
13858,7534,2022-10-31,BUFFALO NARROWS (AUT),3.3,38.0,75.0,SK
13859,47087,2010-03-31,LA GLACE AGCM,-0.3,33.0,84.0,AB
13860,1240,2009-08-05,BRIDGE LAKE 2,13.5,,,BC
13861,51798,2014-06-06,WASECA RCS,8.2,33.0,,SK
13862,3950,1987-06-14,STRATTON ROMYN,,,,ON
13863,10881,2015-10-02,OAKPOINT MARINE,11.5,41.0,,MB
13864,3169,2004-08-26,CLIMAX,,,,SK
13865,776,2018-06-27,HANEY UBC RF ADMIN,16.3,,,BC
13866,3945,1992-01-24,RAINY RIVER-COOPER,-23.0,,,ON
13867,47147,2012-08-12,LA CRETE AGCM,14.4,0.0,93.0,AB
13868,50777,2015-09-28,SLAVE LAKE RCS,4.9,0.0,,AB
13869,49628,2018-08-03,DEASE LAKE A,13.5,32.0,,BC
13870,29371,2008-07-02,LA RONGE RCS,13.5,0.0,89.0,SK
13871,44927,2021-06-27,LYTTON RCS,33.4,,68.0,BC
13872,2765,1999-06-02,PANNY LO,14.0,,,AB
13873,6108,2005-08-17,LAKE ALMA,18.5,,,SK
13874,650,2018-03-17,SPOKIN LAKE 4E,-1.0,,,BC
13875,1596,2011-06-13,SHINGLE POINT A,2.6,0.0,,YT
13876,1255,2009-06-12,CLINTON (AUT),15.5,0.0,90.0,BC
13877,3880,2013-09-13,ISLAND LAKE A,17.7,41.0,,MB
13878,1032,2009-09-04,OKANAGAN CENTRE,17.5,,,BC
13879,31468,2012-02-16,PEORIA AGDM,-7.7,0.0,,AB
13880,3945,1997-09-01,RAINY RIVER,18.0,,,ON
13881,3394,2006-09-07,STONY RAPIDS A,7.4,0.0,,SK
13882,50757,2022-09-08,FORT CHIPEWYAN RCS,,,,AB
13883,3945,1994-09-06,RAINY RIVER,16.0,,,ON
13884,3775,2017-08-16,BEAVER MINES,15.4,44.0,,AB
13885,3641,2012-06-14,OAKBANK,,,,MB
13886,2632,2011-05-31,WHITECOURT A,12.5,,,AB
