x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MAX_REL_HUMIDITY,STATION_NAME,MEAN_TEMPERATURE,LOCAL_DATE
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-36.3,2021-02-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,89,STORM HILLS,-20,2021-02-13 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,76,STORM HILLS,-30.8,2021-02-17 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,59,79,STORM HILLS,-27.3,2021-02-06 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,57,89,STORM HILLS,-15,2021-02-12 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,70,87,STORM HILLS,-22.1,2021-02-11 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,59,76,STORM HILLS,-32.4,2021-02-10 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,79,STORM HILLS,-27.8,2021-02-20 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,75,STORM HILLS,-32,2021-02-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-23.7,2021-02-14 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-27,2021-02-23 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,74,STORM HILLS,-34.3,2021-02-28 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,46,71,STORM HILLS,-36.7,2021-02-26 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,52,79,STORM HILLS,-27.5,2021-02-21 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,75,STORM HILLS,-33.7,2021-02-24 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,46,80,STORM HILLS,-25.1,2021-02-22 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,35,75,STORM HILLS,-32.9,2021-02-27 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,84,STORM HILLS,-22,2021-03-17 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,39,84,STORM HILLS,-23.6,2021-03-18 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,77,STORM HILLS,-30.1,2021-03-03 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,84,81,STORM HILLS,-24.5,2021-03-12 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,82,STORM HILLS,-24.5,2021-03-15 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,55,94,STORM HILLS,-16,2021-03-09 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-23.8,2021-03-05 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,59,78,STORM HILLS,-29.3,2021-03-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,83,STORM HILLS,-24.2,2021-03-08 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25.5,2021-03-13 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,79,STORM HILLS,-26.4,2021-03-14 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,80,STORM HILLS,-26.7,2021-03-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,83,STORM HILLS,-21.7,2021-03-16 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,79,STORM HILLS,-29.3,2021-03-02 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,50,94,STORM HILLS,-10.8,2021-03-10 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,74,STORM HILLS,-35.6,2021-03-01 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,44,79,STORM HILLS,-28.8,2021-03-07 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,70,91,STORM HILLS,-17.1,2021-03-11 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,42,83,STORM HILLS,-24.9,2021-03-06 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,89,STORM HILLS,-20,2021-03-26 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,37,78,STORM HILLS,-22.6,2021-03-29 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,42,80,STORM HILLS,-27.3,2021-03-28 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,74,86,STORM HILLS,-19.6,2021-03-23 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,89,STORM HILLS,-12.4,2021-03-25 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,46,83,STORM HILLS,-22.2,2021-03-22 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,82,STORM HILLS,-25,2021-03-20 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,39,91,STORM HILLS,-16.8,2021-03-24 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,81,STORM HILLS,-24,2021-03-21 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,37,82,STORM HILLS,-24.1,2021-03-30 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,,2021-03-31 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,80,STORM HILLS,-26.1,2021-03-27 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,71,STORM HILLS,-11.5,2021-04-12 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,83,STORM HILLS,-20.2,2021-04-07 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,83,STORM HILLS,-21.8,2021-04-03 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,42,98,STORM HILLS,-0.3,2021-04-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,41,76,STORM HILLS,-5.4,2021-04-28 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,41,92,STORM HILLS,1.4,2021-04-18 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,84,STORM HILLS,-8.5,2021-04-23 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,66,STORM HILLS,-0.1,2021-04-14 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,35,82,STORM HILLS,-24.1,2021-04-06 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,37,69,STORM HILLS,-9.4,2021-04-27 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,73,STORM HILLS,-3.4,2021-04-13 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,35,89,STORM HILLS,-1.4,2021-04-17 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,41,82,STORM HILLS,-4.6,2021-04-29 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,97,STORM HILLS,-2.8,2021-04-24 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,39,81,STORM HILLS,-21.9,2021-04-08 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,35,90,STORM HILLS,-14.2,2021-04-26 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,76,83,STORM HILLS,-21.9,2021-04-05 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,70,STORM HILLS,-19.5,2021-04-11 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,94,STORM HILLS,-10.3,2021-04-25 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,50,78,STORM HILLS,-28,2021-04-09 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,70,92,STORM HILLS,-17.2,2021-04-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,81,STORM HILLS,-24.9,2021-04-02 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,90,STORM HILLS,-12.4,2021-04-22 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,65,91,STORM HILLS,-12.7,2021-04-21 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,63,98,STORM HILLS,-8.7,2021-04-20 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,76,STORM HILLS,-26.7,2021-04-10 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,95,STORM HILLS,-8.8,2021-04-16 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,93,STORM HILLS,-4.3,2021-04-30 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,97,STORM HILLS,-4.3,2021-04-15 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,77,STORM HILLS,-28.8,2021-04-01 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,44,99,STORM HILLS,-6.6,2021-05-07 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,39,97,STORM HILLS,-5.8,2021-05-08 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,83,STORM HILLS,2.5,2021-05-15 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,35,95,STORM HILLS,-7.6,2021-05-10 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,96,STORM HILLS,-6.8,2021-05-05 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,95,STORM HILLS,-9.1,2021-05-03 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,35,94,STORM HILLS,-8.3,2021-05-13 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,78,STORM HILLS,3.4,2021-05-16 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,37,65,STORM HILLS,8.1,2021-05-21 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,1.2,2021-05-31 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,35,95,STORM HILLS,-9.4,2021-05-12 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,96,STORM HILLS,-8,2021-05-09 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,0,2021-05-25 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,96,STORM HILLS,-5.6,2021-05-02 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,88,STORM HILLS,2.6,2021-05-17 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,98,STORM HILLS,-3.6,2021-05-28 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,31,76,STORM HILLS,6.8,2021-05-20 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,90,STORM HILLS,0.9,2021-05-14 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,1.7,2021-05-24 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,99,STORM HILLS,-2.3,2021-05-29 00:00:00
