x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY,MEAN_TEMPERATURE
-70.78083333333333,47.07861111111111,7041JG6,33,QC,1993-11-12 00:00:00,CAP-TOURMENTE,,-1
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-11-13 00:00:00,CAP-TOURMENTE,,-4.4
-70.78083333333333,47.07861111111111,7041JG6,33,QC,1993-11-14 00:00:00,CAP-TOURMENTE,,2.9
-70.78083333333333,47.07861111111111,7041JG6,48,QC,1993-11-15 00:00:00,CAP-TOURMENTE,,2.1
-70.78083333333333,47.07861111111111,7041JG6,35,QC,1993-11-16 00:00:00,CAP-TOURMENTE,,0.1
-70.78083333333333,47.07861111111111,7041JG6,33,QC,1993-11-17 00:00:00,CAP-TOURMENTE,,2.8
-70.78083333333333,47.07861111111111,7041JG6,32,QC,1993-11-18 00:00:00,CAP-TOURMENTE,,-0.3
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-11-19 00:00:00,CAP-TOURMENTE,,1.4
-70.78083333333333,47.07861111111111,7041JG6,52,QC,1993-11-20 00:00:00,CAP-TOURMENTE,,1.2
-70.78083333333333,47.07861111111111,7041JG6,43,QC,1993-11-21 00:00:00,CAP-TOURMENTE,,-2.8
-70.78083333333333,47.07861111111111,7041JG6,41,QC,1993-11-22 00:00:00,CAP-TOURMENTE,,0.9
-70.78083333333333,47.07861111111111,7041JG6,37,QC,1993-11-23 00:00:00,CAP-TOURMENTE,,-6.2
-70.78083333333333,47.07861111111111,7041JG6,39,QC,1993-11-24 00:00:00,CAP-TOURMENTE,,-7.9
-70.78083333333333,47.07861111111111,7041JG6,41,QC,1993-11-25 00:00:00,CAP-TOURMENTE,,-10.8
-70.78083333333333,47.07861111111111,7041JG6,41,QC,1993-11-26 00:00:00,CAP-TOURMENTE,,-7.8
-70.78083333333333,47.07861111111111,7041JG6,,QC,1993-11-27 00:00:00,CAP-TOURMENTE,,-5.6
-70.78083333333333,47.07861111111111,7041JG6,56,QC,1993-11-28 00:00:00,CAP-TOURMENTE,,5.6
-70.78083333333333,47.07861111111111,7041JG6,57,QC,1993-11-29 00:00:00,CAP-TOURMENTE,,0.6
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-11-30 00:00:00,CAP-TOURMENTE,,-5.4
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-12-02 00:00:00,CAP-TOURMENTE,,-1.6
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-12-03 00:00:00,CAP-TOURMENTE,,2.1
-70.78083333333333,47.07861111111111,7041JG6,32,QC,1993-12-04 00:00:00,CAP-TOURMENTE,,1.7
-70.78083333333333,47.07861111111111,7041JG6,43,QC,1993-12-05 00:00:00,CAP-TOURMENTE,,1.8
-70.78083333333333,47.07861111111111,7041JG6,39,QC,1993-12-06 00:00:00,CAP-TOURMENTE,,-0.1
-70.78083333333333,47.07861111111111,7041JG6,33,QC,1993-12-07 00:00:00,CAP-TOURMENTE,,0
-70.78083333333333,47.07861111111111,7041JG6,32,QC,1993-12-08 00:00:00,CAP-TOURMENTE,,-3.2
-70.78083333333333,47.07861111111111,7041JG6,,QC,1993-12-09 00:00:00,CAP-TOURMENTE,,-4.9
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-12-10 00:00:00,CAP-TOURMENTE,,-1.1
-70.78083333333333,47.07861111111111,7041JG6,48,QC,1993-12-11 00:00:00,CAP-TOURMENTE,,0.2
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-12-12 00:00:00,CAP-TOURMENTE,,-8.2
-70.78083333333333,47.07861111111111,7041JG6,33,QC,1993-12-13 00:00:00,CAP-TOURMENTE,,-8.5
-70.78083333333333,47.07861111111111,7041JG6,61,QC,1993-12-14 00:00:00,CAP-TOURMENTE,,-2
-70.78083333333333,47.07861111111111,7041JG6,56,QC,1993-12-15 00:00:00,CAP-TOURMENTE,,-2.7
