x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY,MEAN_TEMPERATURE
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-25 00:00:00,FREDERICTON CDA CS,,17.5
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-26 00:00:00,FREDERICTON CDA CS,,20.2
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-27 00:00:00,FREDERICTON CDA CS,,19.3
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-28 00:00:00,FREDERICTON CDA CS,,16
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-29 00:00:00,FREDERICTON CDA CS,,16.1
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-30 00:00:00,FREDERICTON CDA CS,,18.2
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-31 00:00:00,FREDERICTON CDA CS,,19.7
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-01 00:00:00,FREDERICTON CDA CS,,22.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-02 00:00:00,FREDERICTON CDA CS,,15.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-03 00:00:00,FREDERICTON CDA CS,,16.5
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-04 00:00:00,FREDERICTON CDA CS,,13.2
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-05 00:00:00,FREDERICTON CDA CS,,10.7
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-06 00:00:00,FREDERICTON CDA CS,,11.1
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-07 00:00:00,FREDERICTON CDA CS,,13.6
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-08 00:00:00,FREDERICTON CDA CS,,16.3
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-09 00:00:00,FREDERICTON CDA CS,,18.8
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-10 00:00:00,FREDERICTON CDA CS,,15.2
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-11 00:00:00,FREDERICTON CDA CS,,15.5
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-12 00:00:00,FREDERICTON CDA CS,,16.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-13 00:00:00,FREDERICTON CDA CS,,18.8
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-14 00:00:00,FREDERICTON CDA CS,,15.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-15 00:00:00,FREDERICTON CDA CS,,13.2
-66.60889166666666,45.92027777777778,8101605,,NB,2000-09-16 00:00:00,FREDERICTON CDA CS,,18.7
