Longitude,Latitude,SPEED_MAX_GUST,Province,Name,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Climate ID,Date,Station ID
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-8.8,,2202351,1995-03-15 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,,,2202351,1995-03-16 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-22.7,,2202351,1995-03-17 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-14.6,,2202351,1995-03-18 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-13.0,,2202351,1995-03-19 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-12.1,,2202351,1995-03-20 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-8.8,,2202351,1995-03-21 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-9.8,,2202351,1995-03-22 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-14.3,,2202351,1995-03-23 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,,,2202351,1995-03-24 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,,,2202351,1995-03-25 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-26.0,,2202351,1995-03-26 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-26.6,,2202351,1995-03-27 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-22.1,,2202351,1995-03-28 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-23.3,,2202351,1995-03-29 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-23.3,,2202351,1995-03-30 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-21.8,70.0,2202351,1995-03-31 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-24.2,69.0,2202351,1995-04-01 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-30.8,65.0,2202351,1995-04-02 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-28.4,66.0,2202351,1995-04-03 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-25.4,67.0,2202351,1995-04-04 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-25.0,70.0,2202351,1995-04-05 00:00:00,1988
-105.13333333333334,63.6,,NT,HANBURY RIVER,-18.2,73.0,2202351,1995-04-06 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-17.9,80.0,2202351,1995-04-07 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-21.7,80.0,2202351,1995-04-08 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-19.3,82.0,2202351,1995-04-09 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,,,2202351,1995-04-10 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-19.1,,2202351,1995-04-11 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-21.8,83.0,2202351,1995-04-12 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-22.6,80.0,2202351,1995-04-13 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-23.5,78.0,2202351,1995-04-14 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-21.1,78.0,2202351,1995-04-15 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-18.5,,2202351,1995-04-16 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-16.6,82.0,2202351,1995-04-17 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-15.7,82.0,2202351,1995-04-18 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-11.0,86.0,2202351,1995-04-19 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-10.7,88.0,2202351,1995-04-20 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-9.4,88.0,2202351,1995-04-21 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-10.6,87.0,2202351,1995-04-22 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-10.4,85.0,2202351,1995-04-23 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-12.2,86.0,2202351,1995-04-24 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-14.2,87.0,2202351,1995-04-25 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-12.5,86.0,2202351,1995-04-26 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-4.9,85.0,2202351,1995-04-27 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-2.8,93.0,2202351,1995-04-28 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-2.3,92.0,2202351,1995-04-29 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-2.9,87.0,2202351,1995-04-30 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-8.3,89.0,2202351,1995-05-01 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-7.0,85.0,2202351,1995-05-02 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-3.5,88.0,2202351,1995-05-03 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-5.9,77.0,2202351,1995-05-04 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-6.8,84.0,2202351,1995-05-05 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-8.0,92.0,2202351,1995-05-06 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-5.6,91.0,2202351,1995-05-07 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-12.5,87.0,2202351,1995-05-08 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-14.5,80.0,2202351,1995-05-09 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-11.9,83.0,2202351,1995-05-10 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-15.2,84.0,2202351,1995-05-11 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-13.3,70.0,2202351,1995-05-12 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-13.4,77.0,2202351,1995-05-13 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-9.1,74.0,2202351,1995-05-14 00:00:00,1988
-105.13333333333334,63.6,,NT,HANBURY RIVER,-5.2,,2202351,1995-05-15 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-3.7,,2202351,1995-05-16 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-4.6,92.0,2202351,1995-05-17 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-2.2,93.0,2202351,1995-05-18 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-4.1,92.0,2202351,1995-05-19 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-2.8,91.0,2202351,1995-05-20 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-1.3,93.0,2202351,1995-05-21 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-0.4,88.0,2202351,1995-05-22 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-1.0,83.0,2202351,1995-05-23 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-5.6,,2202351,1995-05-24 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-2.5,76.0,2202351,1995-05-25 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-1.3,86.0,2202351,1995-05-26 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-5.0,88.0,2202351,1995-05-27 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-4.3,90.0,2202351,1995-05-28 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-2.0,85.0,2202351,1995-05-29 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-0.2,91.0,2202351,1995-05-30 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-2.3,89.0,2202351,1995-05-31 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,1.2,,2202351,1995-06-01 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,3.7,91.0,2202351,1995-06-02 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,6.9,90.0,2202351,1995-06-03 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,,,2202351,1995-06-04 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,4.9,94.0,2202351,1995-06-05 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,5.7,81.0,2202351,1995-06-06 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,7.5,85.0,2202351,1995-06-07 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,9.6,,2202351,1995-06-08 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,12.6,,2202351,1995-06-09 00:00:00,1988
