Longitude,Latitude,Name,Date,Climate ID,SPEED_MAX_GUST,Province,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Station ID
-72.4,46.86666666666667,LAC AUX SABLES,1997-08-08 00:00:00,701LEEH,,QC,21.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2007-06-17 00:00:00,701LEEH,,QC,16.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1999-05-27 00:00:00,701LEEH,,QC,11.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2007-06-30 00:00:00,701LEEH,,QC,11.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-04-05 00:00:00,701LEEH,,QC,4.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2006-10-18 00:00:00,701LEEH,,QC,7.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1999-06-11 00:00:00,701LEEH,,QC,19.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-09-21 00:00:00,701LEEH,,QC,13.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2015-02-02 00:00:00,701LEEH,,QC,-23.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2006-12-01 00:00:00,701LEEH,,QC,-1.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-08-05 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-02-09 00:00:00,701LEEH,,QC,-16.1,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2000-04-22 00:00:00,701LEEH,,QC,4.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2011-03-09 00:00:00,701LEEH,,QC,-13.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2019-09-27 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2022-08-06 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2006-10-01 00:00:00,701LEEH,,QC,6.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-12-30 00:00:00,701LEEH,,QC,-18.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-02-07 00:00:00,701LEEH,,QC,-17.7,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2014-02-08 00:00:00,701LEEH,,QC,-11.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1987-05-31 00:00:00,701LEEH,,QC,22.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2014-03-28 00:00:00,701LEEH,,QC,-3.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-03-29 00:00:00,701LEEH,,QC,0.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2005-11-18 00:00:00,701LEEH,,QC,-6.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2005-05-13 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1988-05-28 00:00:00,701LEEH,,QC,17.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-08-29 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1992-08-07 00:00:00,701LEEH,,QC,18.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-02-19 00:00:00,701LEEH,,QC,-0.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2006-07-16 00:00:00,701LEEH,,QC,24.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-06-06 00:00:00,701LEEH,,QC,17.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-07-03 00:00:00,701LEEH,,QC,16.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-09-25 00:00:00,701LEEH,,QC,13.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2014-02-04 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2015-03-08 00:00:00,701LEEH,,QC,-8.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-12-13 00:00:00,701LEEH,,QC,3.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1989-06-24 00:00:00,701LEEH,,QC,21.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2021-09-24 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2005-06-26 00:00:00,701LEEH,,QC,22.1,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-08-24 00:00:00,701LEEH,,QC,12.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-02-24 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-12-21 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-05-25 00:00:00,701LEEH,,QC,19.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-04-14 00:00:00,701LEEH,,QC,2.0,,6872
