Longitude,Latitude,SPEED_MAX_GUST,Province,Name,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Climate ID,Date,Station ID
-135.045,59.716388888888886,,BC,FRASER CAMP,3.0,,120C036,1988-09-28 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,12.0,,120C036,1995-06-27 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2007-07-11 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1996-10-29 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,12.5,,120C036,1989-09-08 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-0.3,,120C036,1991-01-20 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2005-01-17 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,4.5,,120C036,2004-05-30 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,12.5,,120C036,2004-08-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,3.5,,120C036,1999-05-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-2.0,,120C036,1996-10-15 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.0,,120C036,1995-07-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-4.0,,120C036,1993-12-16 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-22.5,,120C036,2006-03-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2005-06-10 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-2.0,,120C036,1994-01-27 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,12.0,,120C036,1989-09-09 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-1.5,,120C036,1992-01-17 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-5.5,,120C036,1992-02-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,0.0,,120C036,2002-05-09 00:00:00,1766
