x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MEAN_TEMPERATURE,PROVINCE_CODE,STATION_NAME,MAX_REL_HUMIDITY,LOCAL_DATE
-116.336945,51.35612,117R00H,,-4,BC,YOHO NP OHARA LAKE,,1988-03-13 00:00:00
-116.336945,51.35612,117R00H,,-5.3,BC,YOHO NP OHARA LAKE,,1988-03-14 00:00:00
-116.336945,51.35612,117R00H,,-10,BC,YOHO NP OHARA LAKE,,1988-03-15 00:00:00
-116.336945,51.35612,117R00H,,-11.3,BC,YOHO NP OHARA LAKE,,1988-03-16 00:00:00
-116.336945,51.35612,117R00H,,-7.8,BC,YOHO NP OHARA LAKE,,1988-03-17 00:00:00
-116.336945,51.35612,117R00H,,-3,BC,YOHO NP OHARA LAKE,,1988-03-18 00:00:00
-116.336945,51.35612,117R00H,,-0.5,BC,YOHO NP OHARA LAKE,,1988-03-19 00:00:00
-116.336945,51.35612,117R00H,,-1,BC,YOHO NP OHARA LAKE,,1988-03-20 00:00:00
-116.336945,51.35612,117R00H,,-5.8,BC,YOHO NP OHARA LAKE,,1988-03-21 00:00:00
-116.336945,51.35612,117R00H,,-6.8,BC,YOHO NP OHARA LAKE,,1988-03-22 00:00:00
-116.336945,51.35612,117R00H,,-4.5,BC,YOHO NP OHARA LAKE,,1988-03-23 00:00:00
-116.336945,51.35612,117R00H,,-4.3,BC,YOHO NP OHARA LAKE,,1988-03-24 00:00:00
-116.336945,51.35612,117R00H,,-6.8,BC,YOHO NP OHARA LAKE,,1988-03-25 00:00:00
-116.336945,51.35612,117R00H,,-4.3,BC,YOHO NP OHARA LAKE,,1988-03-26 00:00:00
-116.336945,51.35612,117R00H,,-8.3,BC,YOHO NP OHARA LAKE,,1988-03-27 00:00:00
-116.336945,51.35612,117R00H,,-14,BC,YOHO NP OHARA LAKE,,1988-03-28 00:00:00
-116.336945,51.35612,117R00H,,-9,BC,YOHO NP OHARA LAKE,,1988-03-29 00:00:00
-116.336945,51.35612,117R00H,,-10,BC,YOHO NP OHARA LAKE,,1988-03-30 00:00:00
-116.336945,51.35612,117R00H,,-3.3,BC,YOHO NP OHARA LAKE,,1988-03-31 00:00:00
-116.336945,51.35612,117R00H,,-0.5,BC,YOHO NP OHARA LAKE,,1988-04-01 00:00:00
-116.336945,51.35612,117R00H,,0.3,BC,YOHO NP OHARA LAKE,,1988-04-02 00:00:00
-116.336945,51.35612,117R00H,,-1.8,BC,YOHO NP OHARA LAKE,,1988-04-03 00:00:00
-116.336945,51.35612,117R00H,,-6.8,BC,YOHO NP OHARA LAKE,,1988-04-04 00:00:00
-116.336945,51.35612,117R00H,,-6.5,BC,YOHO NP OHARA LAKE,,1988-04-05 00:00:00
-116.336945,51.35612,117R00H,,-2.5,BC,YOHO NP OHARA LAKE,,1988-04-06 00:00:00
-116.336945,51.35612,117R00H,,-6.3,BC,YOHO NP OHARA LAKE,,1988-04-07 00:00:00
-116.336945,51.35612,117R00H,,-8.3,BC,YOHO NP OHARA LAKE,,1988-04-08 00:00:00
-116.336945,51.35612,117R00H,,-9.5,BC,YOHO NP OHARA LAKE,,1988-04-09 00:00:00
-116.336945,51.35612,117R00H,,-3,BC,YOHO NP OHARA LAKE,,1988-04-10 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1988-04-11 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1988-04-12 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1988-04-13 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1988-04-14 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1988-04-15 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1988-04-16 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1988-04-17 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1988-04-18 00:00:00
