x,y,PROVINCE_CODE,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-11-30 00:00:00,-4.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2001-03-28 00:00:00,-5.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2015-01-25 00:00:00,-9,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-03-12 00:00:00,3.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-04-27 00:00:00,10,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-09-03 00:00:00,20.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-12-16 00:00:00,-10,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-04-08 00:00:00,3.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-04-09 00:00:00,-3.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-07-02 00:00:00,23.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-07-18 00:00:00,17.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-11-25 00:00:00,-12,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-06-07 00:00:00,18.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2022-07-11 00:00:00,18.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-07-27 00:00:00,19,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1988-08-07 00:00:00,23.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-01-14 00:00:00,-8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2021-05-22 00:00:00,9.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1991-01-05 00:00:00,-19.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1990-02-19 00:00:00,-17.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-09-30 00:00:00,5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1997-11-22 00:00:00,-12.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-04-27 00:00:00,10.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2014-04-15 00:00:00,-11.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-10-28 00:00:00,-2.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-05-06 00:00:00,5.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2014-02-02 00:00:00,-24.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-09-19 00:00:00,14.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1995-12-10 00:00:00,-30.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-04-14 00:00:00,4.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-10-30 00:00:00,5.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2005-01-20 00:00:00,-14.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-10-21 00:00:00,4.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-12-10 00:00:00,-29.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-04-09 00:00:00,4.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-09-06 00:00:00,12,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2005-04-09 00:00:00,9.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2005-09-22 00:00:00,8.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-05-25 00:00:00,14,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-01-25 00:00:00,-27,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1987-08-20 00:00:00,16.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1994-09-05 00:00:00,14.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2003-10-25 00:00:00,1,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2015-12-14 00:00:00,-3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-08-09 00:00:00,13,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1990-01-06 00:00:00,-16.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-08-21 00:00:00,12.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1991-08-03 00:00:00,17.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2005-07-03 00:00:00,19.8,,,5031320
