Year,CostProvinceShort,DollarPerAcre,InflationScaler,DollarPerHectare,ProvinceID
1927,NS,24,10.989010989010987,9.71266693646297,2
1927,NB,23,10.989010989010987,9.307972480777012,3
1927,QC,52,10.989010989010987,21.04411169566977,4
1927,ON,63,10.989010989010987,25.495750708215297,5
1927,MB,24,10.989010989010987,9.71266693646297,6
1927,SK,23,10.989010989010987,9.307972480777012,7
1927,AB,23,10.989010989010987,9.307972480777012,8
1927,BC,45,10.989010989010987,18.21125050586807,9
1928,PE,42,10.989010989010987,16.997167138810198,1
1928,NS,22,10.989010989010987,8.903278025091057,2
1928,NB,23,10.989010989010987,9.307972480777012,3
1928,QC,50,10.989010989010987,20.23472278429785,4
1928,ON,61,10.989010989010987,24.686361796843386,5
1928,MB,25,10.989010989010987,10.117361392148927,6
1928,SK,24,10.989010989010987,9.71266693646297,7
1928,AB,23,10.989010989010987,9.307972480777012,8
1928,BC,47,10.989010989010987,19.020639417239984,9
1929,PE,42,10.869565217391305,16.997167138810198,1
1929,NS,24,10.869565217391305,9.71266693646297,2
1929,NB,26,10.869565217391305,10.522055847834883,3
1929,QC,52,10.869565217391305,21.04411169566977,4
1929,ON,59,10.869565217391305,23.876972885471467,5
1929,MB,25,10.869565217391305,10.117361392148927,6
1929,SK,23,10.869565217391305,9.307972480777012,7
1929,AB,23,10.869565217391305,9.307972480777012,8
1929,BC,47,10.869565217391305,19.020639417239984,9
1930,PE,43,10.989010989010987,17.401861594496154,1
1930,NS,20,10.989010989010987,8.093889113719142,2
1930,NB,20,10.989010989010987,8.093889113719142,3
1930,QC,47,10.989010989010987,19.020639417239984,4
1930,ON,52,10.989010989010987,21.04411169566977,5
1930,MB,22,10.989010989010987,8.903278025091057,6
1930,SK,20,10.989010989010987,8.093889113719142,7
1930,AB,20,10.989010989010987,8.093889113719142,8
1930,BC,41,10.989010989010987,16.592472683124242,9
1931,PE,36,12.195121951219512,14.569000404694457,1
1931,NS,19,12.195121951219512,7.689194658033185,2
1931,NB,19,12.195121951219512,7.689194658033185,3
1931,QC,40,12.195121951219512,16.187778227438283,4
1931,ON,47,12.195121951219512,19.020639417239984,5
1931,MB,19,12.195121951219512,7.689194658033185,6
1931,SK,18,12.195121951219512,7.284500202347227,7
1931,AB,17,12.195121951219512,6.879805746661271,8
1931,BC,41,12.195121951219512,16.592472683124242,9
1932,PE,32,13.333333333333334,12.950222581950626,1
1932,NS,18,13.333333333333334,7.284500202347227,2
1932,NB,17,13.333333333333334,6.879805746661271,3
1932,QC,35,13.333333333333334,14.164305949008495,4
